Lambda_Factor,Escenario,Capacidad_Bytes,Replica,W_Tiempo_Esp_Promedio,W_Tiempo_Esp_Maximo,W_Tiempo_Esp_P95,Lq_Cola_Promedio,Lq_Cola_Maximo,Throughput,N_Transacciones,N_Bloques_Minados
0.0005,1,2000000.0,1,1098.4555805270988,2696.3172036804754,2416.6109317390064,527.6146788990826,21367,0.49093055555555554,35347,8
0.0005,1,2000000.0,2,2367.4951456705207,10343.836130886892,6753.31660428211,9793.688907422853,59664,4.184958333333333,301317,61
0.0005,1,2000000.0,3,1660.0933338904488,4424.029113904959,4024.968441803572,3251.725604670559,35329,1.9907083333333333,143331,29
0.0005,1,2000000.0,4,1725.4096318196594,7033.330601174646,4453.472836138802,7798.680567139283,37849,4.588777777777778,330392,69
0.0005,1,2000000.0,5,1294.651012283909,3815.3461552318113,3341.1911517080357,1919.62635529608,29801,1.5153055555555555,109102,24
0.0005,1,2000000.0,6,882.2871963429016,3082.687200984379,2520.8201746217815,1913.4929107589658,22109,2.2376944444444447,161114,38
0.0005,1,2000000.0,7,0.0,0.0,0.0,0.0,0,0.0,0,0
0.0005,1,2000000.0,8,2252.6285902366303,7551.434480135853,6026.275571607055,4239.0675562969145,52845,1.9087361111111112,137429,27
0.0005,1,2000000.0,9,683.6663598354131,2315.0323906481062,2012.6895696842469,670.9666388657214,17515,1.0268472222222222,73933,18
0.0005,1,2000000.0,10,397.86529863696904,403.9447711483808,403.25905924148975,12.40533778148457,2479,0.034430555555555555,2479,1
0.0005,2,500000.0,1,0.0,0.0,0.0,0.0,0,0.0,0,0
0.0005,2,500000.0,2,0.0,0.0,0.0,0.0,0,0.0,0,0
0.0005,2,500000.0,3,32944.55028948671,87541.11750722444,73609.78483730585,156775.84737281068,206696,1.8895,136044,119
0.0005,2,500000.0,4,28674.95223711176,38632.39072195901,37695.84650470926,6932.822351959967,42886,0.5956388888888889,42886,39
0.0005,2,500000.0,5,0.0,0.0,0.0,0.0,0,0.0,0,0
0.0005,2,500000.0,6,27901.218138187818,37901.357793546624,37144.794267408644,7350.259382819016,44149,0.6131805555555555,44149,40
0.0005,2,500000.0,7,46695.003589942,76950.58017674806,74050.01287792646,57213.8448707256,122710,1.7042916666666668,122709,119
0.0005,2,500000.0,8,2157.6007319828477,15585.63569055155,15576.784205694854,3912.489574645538,107827,0.18659722222222222,13435,12
0.0005,2,500000.0,9,44500.917850923055,71203.36890892553,68353.46213801298,40154.66972477064,102171,1.4190416666666668,102171,93
0.0005,2,500000.0,10,29556.18760824463,89399.50839788896,77801.71064724658,300927.7623019183,348964,1.8481944444444445,133070,119
0.0005,2,1000000.0,1,40942.936479468255,69636.67627787356,68266.01458967663,132892.59966638865,246268,3.6741527777777776,264539,119
0.0005,2,1000000.0,2,20961.598006572276,31848.450431747202,31127.69042697201,19466.490408673893,100768,1.3995555555555557,100768,46
0.0005,2,1000000.0,3,0.0,0.0,0.0,0.0,0,0.0,0,0
0.0005,2,1000000.0,4,32629.97621595173,65730.85560228869,63652.10915133958,115656.33194328607,210140,3.701208333333333,266487,119
